Item Code,Avg. Rate,Qty
10012101,1127.17,323
10012102,185.19,355.48
10012103,146.31,1338
10012104,1427.79,323
10012106,106.21,150
10012109,2051.3,73
10012110,173.7,310.32
1155112,307.26,110.4
11557113,153.41,3191.6
11557114,214.72,150.5
11557115,281.19,150.5
12290101,180,455.8
12290104,180,907.19
12290134,179.07,0
12290135,179.99,1023.424
12290137,180,221.66
12290138,180,112.7
131198126,1161.21,77
13119813,1129,4
13119814,1129,8
13119815,967.24,109
13119816,1431.64,331
13119817,1414.39,614
13119818,1129,57
13119819,1200,37
13198125,898.34,289
13198126,1058.59,38
13198128,1400,23
13198129,1777.48,46
14162106,469.53,1263
15107105,57.02,5093
15107106,41.99,5400
17710114,1455.81,32.605
17710115,757.92,252
18307182,4000,4
18512101,111.15,1505
19207103,2318.72,5
19329121,1469.57,40
19331101,53.86,750
21654108,101.36,100
22342138,76.69,50
22342139,95.09,800
22342141,138,250
22342142,94.97,1100
22417410,86.04,100
22417412,84.86,150
22417413,72.6,100
23620106,0.63,48000
23620112,0.7,48000
23620123,0.44,144000
23620124,0.5,114000
23620126,0.73,132000
23620131,0.43,54000
23620133,0.49,30000
236201330,0.65,150000
23620140,0.86,16000
23620141,0.44,12000
24745110,2.85,35000
24745113,1.1,8000
24745131,0.76,123550
24745132,3.71,30450
24745133,3.55,8305
24745137,0.59,207100
24745138,2.7,25373
24745139,0.6,12400
24745140,2.7,2050
24745141,0.59,16000
24745142,3,3400
24745143,1.7,2200
24745144,0.65,132226
24745150,4.18,11200
24745153,2.58,10800
24745157,0.6,53000
24745158,3,6800
24745159,0.6,24000
24745160,3,1200
24745162,0.59,124000
24745163,2.7,12200
24745170,0.59,33500
24745175,2.7,22455
24745178,1.16,168000
24745179,7.72,19400
24745182,0.9,4100
24745186,0.59,122600
24745187,2.7,11300
25706123,44.4,1589
25706124,32.6,3078
30445103,85,470.74
31087106,65.21,2209.4
31087117,0.3,91200
92212128,190600,1
99000120,858536.09,2
21359472,22.13,23
51002906,25,2
51002910,60,1
51002913,15.96,86
51002928,400,2
51002944,31.02,61
51002950,20,70
51002951,80,3
51002952,54.55,22
51002953,35,6
51002954,8.62,34
51058106,153,10
51071201,1800,3
51071221,250,1
51109129,183,3
51109131,105,6
51109138,906,3
51109148,17770,1
51109155,1261,2
51109156,4400,2
51110246,610,3
51123117,12,50
51123118,13.11,90
51125197,95,10
51125198,95,10
51125202,11,200
51134134,22,12
51134140,60,6
51134142,18,12
51134143,15600,1
51134145,6.54,52
51157107,105,60
51162311,375,4
51163309,375,3
51163310,1096.4,5
51163312,642,2
51163316,375,4
51176106,330,4
51176152,560,4
51191101,1095,4
51191102,480,6
51191103,17.5,4
51191166,1750,3
51191167,1750,3
51191168,1300,4
51257162,95,6
51317144,320,12
51319141,581.15,13
51326101,7.5,200
51326109,1978,2
51349107,32,4
51349116,750,2
51349172,15,40
51379119,140,10
51379120,156.67,36
51379123,2180,25
51379124,85.83,36
51379127,305,58
51379140,550,18
51379149,60,30
51379150,180,5
51379195,640,2
51384102,200,16
51384104,141.67,30
51402101,1085,2
51494110,41.36,44
51494132,55,12
51494133,47.8,40
51494134,22,20
51500104,390,2
51500119,55,6
51537215,152,10
51537224,225,12
51537225,193,12
51537227,65,10
51537228,65,10
51537276,190.63,16
51537279,212.9,20
51537287,195,12
51537294,185,4
51678122,2294,4
51678162,8.5,26
51678177,550,3
51689222,40,1
51698117,55,5
51698202,70,6
51698206,28,6
51698229,13,20
51698232S,82,6
51698233,12.78,92
51698294,2494,1
51706120,596.15,13
51706208,350,4
51766184,9,10
51803122,54.25,100
51809103,10.22,181
51809108,3.89,1080
51809125,725,1
51809128,19.5,12
51809131,18.5,100
51809137,41.5,100
51809146,78,107
51815112,25,300
52433115,41,5000
52433124,2284,10
52433242,152.83,210
53583105,291.67,12
53583111,144.55,11
56057113,105.8,85
56057114,170,2
56255119,30,5
56255120,23,3
57050120,0,4
57050121,0,4
57050123,0,3
57050128,0,8
57050129,0,5
57050130,0,4
57050131,0,3
57050132,0,13
57050133,0,9
57050134,0,4
57050136,0,4
57050137,0,9
57050138,0,7
57050139,0,46
57050142,0,6
57050143,0,6
57050148,0,4
57050149,0,8
57050150,0,4
57050151,0,3
57050152,0,2
57050153,0,10
57050154,0,3
57050155,0,11
57050156,0,2
57050157,0,3
57050158,0,6
57050159,0,5
57050160,0,7
57050161,0,6
57050162,0,1
57050163,0,7
57050164,0,4
57050165,0,2
57050166,0,3
57050167,0,5
57050169,0,7
57050170,0,3
57050171,0,3
57050172,0,4
57050173,0,1
57050174,0,5
57050175,0,6
57050176,0,2
57050177,0,2
57050178,0,2
57050179,0,2
57050180,0,2
57050181,0,2
57050182,0,1
57050183,0,4
57050184,0,1
57050185,0,4
57050186,0,5
57050187,0,4
57050188,0,10
57050189,0,8
57050190,0,2
57050191,0,3
57050192,0,13
57050193,0,4
57050194,0,5
57050196,0,2
57050197,0,7
57050198,0,4
57050199,0,4
57050200,0,2
57050201,0,7
57050202,0,2
57050203,0,7
57050204,0,9
57050205,0,2
57050206,0,3
57050207,0,1
57050208,0,3
57050209,0,4
57050210,0,13
57050211,0,6
57050212,0,6
57050213,0,1
57050214,0,3
57050215,0,3
57050216,0,2
57050217,0,2
57050218,0,10
57050219,0,9
57050220,0,6
57050221,0,4
57050224,0,2
57050225,0,9
57050226,0,4
57050227,0,5
57050228,0,3
57050229,0,9
57050230,0,7
57050231,0,4
57050232,0,8
57050233,0,6
57050234,0,3
57051333,0,10
57052106,0,2
57052110,0,4
57052145,0,4
57052146,0,2
57052147,0,4
57052153,0,2
57052161,0,3
57052166,0,5
57052204,0,5
57052210,0,4
57052238,0,1
57052240,0,3
57052355,0,7
57052372,0,1
57052395,0,5
57052403,0,4
57651669,0.75,1000
57651670,1.1,2000
57651677,17,20
59025108,72,8
59025109,98,10
59025110,48,6
61007617,0,2
69004103,82,960
69004110,9,30
69004147,40,1
69004148,700,4
69004154,0.5,5000
69004191,340,3
69004193,590,3
69004196,49.75,48
69119156,40,1
69342204,0,2
69342205,570,5
69359442,22,20
69359445,22,20
69818502,70,2
90017199,2694.29,7
90017202,2984.55,2
90037241,4641,4
91021129,0,-1
92537190,337.5,12
92617299,31000,1
92698342,450,6
92998885,794.18,6
95003011,2080.84,1
95003013,251.2,40
95003015,2503.2,1
95003016,624,1
95003017,5922.39,1
95043208,85,4
95043211,65,4
95043215,85.71,1
95292142,3586,1
96000014,105,10
96000041,1850,4
96000064,4800,2
96000080,420,2
96000090,180.95,10
96000095,3850,1
96000133,536.91,6
96000137,0.15,385000
96000149,2.74,119980
96000151,1.6,113948
96000152,0,-9000
96000153,0,-14500
97000006,0.8,4000
97000007,430,3
98000022,20.33,69
98000046,490,2
98000066,2200,2
99000005,950,1
99000025,6500,1
99000041,89,10
99000071,160,50
99000072,204,10
99000094,290,1
99000096,238.1,1
99000143,95,6
99000149,5.85,20
99000150,6.3,20
99000151,6.6,20
99000152,7.5,20
99000153,13.65,20
99000154,441,3
99000155,510,2
99000156,770,3
99000157,1110,1
99000161,7.5,200
99000171,650,4
99000172,1500,1
99000200,50,2
99000201,55,2
99000202,3.89,360
21723117,370,21
21723118,200,3
21723119,96.67,3
51693131,66.66,12
51693132,95.83,12
51693133,87.5,12
56193124,166.66,12
56193125,200,12
56193126,100,12
56193127,116.66,12
56193128,116.66,12
56193129,100,12
56193130,116.66,12
69004147,982,5
69004155,186.67,3
69004167,891.67,6
69004200,350,2
69004201,350,1
69004214,83.52,827
69004216,500,2
90603224,907.14,7
95043204,147000,1
95043205,24000,1
960000624,1400,38.5
970000130,45621.33,3
970000131,6.06,13313
97000100,4600,5
97000122,100,1
97000127,28000,1
97000138,52.63,19
98000022,137.5,4
98000059,600,1
98000060,300,1
98000061,2200,1
99000138,18000,1
99000175,4,52
99000212,8400,1
19207105,2370,10
21001105,100,0.5
21359472,101.66,10.25
21454201,120,5
21574101,4.63,150
21723117,450,3
45813102,50,6
50172105,390,2
51002829,110,13.58
51002913,18,40
51002923,17.77,9
51002925,110,18
51002946,16.19,84
51024713,18,2
51074197,55,20
51074215,16,6
51074216,77.5,4
51074376,40,9.15
51109131,20.5,4
51109133,40,4
51109134,51.5,2
51109135,25.25,4
51110245,50,10
51123117,12,12
51123118,18.4,15
51125201,175,21
51134145,11.52,131
51163326,34.25,4
51251109,205,2
51258502,90.67,15
51317144,220,6
51319106,300,6
51349110,32.86,21
51349116,675,2
51362103,75,2
51379128,54.17,12
51479609,50,20
51491113,50,6
51494111,28.85,13
51494132,60,6
51494133,30,3
51494134,5.32,416
51494158,130,3
51500117,454,2
51530135,85.91,11
51632147,200,1
51632152,270,1
51632159,120,1
51678176,10,15
51698117,48.47,17
51698148,41,32
51706208,58.89,36
51717405,48.5,10
51766184,10,6
52333506,196.5,2
52433106,681.22,1
52433122,44.35,115
52433129,233.77,15
52433242,197.38,5
52433258,222.7,10
52465101,80,5
53095114,0.75,200
53274104,383.33,3
53432166,7.69,52
53432168,1,50
53432267,0.3,100
53583106,4,50
53583228,6.5,50
53583233,267.3,1
53583234,267.3,1
53583259,159.3,1
53583404,159.3,1
53583422,3.5,50
53584105,22,9
53584106,2.5,144
53584111,9,9
53584112,1.6,100
53584121,0.25,100
53584126,20,9
53585109,1,100
53588186,40,2
54011718,435,2
54017120,350,4
54489103,1062,1
54608102,810,1
54615111,400,1
55165122,3,50
55241103,25.28,10
55241104,77.25,4
55241208,60,2
55241211,90.74,4
55241212,25,2
55241214,48.01,4
55282120,79,2
55283104,175,1
55283105,990,1
55283111,291,2
55286103,331,2
55288109,284.4,10
55376202,160,2
55376215,17,3
55376220,22,3
55376223,12,3
55435509,10,10
55705113,177,2
55705116,328.73,6
55705180,195,1
55790113,275,4
55790127,440,1
55826183,519,1
55826209,258,1
56057113,135,10
56057114,250,3
56173120,91.38,26
56255118,48,1
56255119,7.38,21
56480109,8.5,100
56480133,28.34,12
56590197,10,3
56652148,20,6
56714111,30,6
56768142,350,4
56768143,409,3
57002939,190,1
57050146,100,10
57052128,700,4
57052181,100,2
57052312,175,4
57052359,75,2
57565108,68.63,91
57565117,175,7.5
57565166,1104,1
57565172,42,20
57565173,28,15
59025111,25,6
59553122,440,10.93
69004101,855,2
69004109,26.67,3
69004129,206.46,13
69004147,21.5,1059
69004148,141.78,55.6
69004154,15,12
69004160,66.82,11
69004161,2.67,204
69004165,20,3
69004166,52.05,119
69004169,75,12
69004171,72.5,24
69004191,340,2
69004193,590,2
69004196,60,24
69004205,22,12
69004206,72.71,14
69004209,140,10
69004215,7.2,75
69004217,750,1
69048202,15,6
6910111,975,4
69118101,45.98,51
69118102,48.91,46
69119148,34.67,15
69119155,35,1
69119156,0.24,500
69119158,25.03,181
69119162,22.12,288
69119163,83.33,3
69119165,27.96,1122
69119220,30,6
69123169,275,4
69149102,35,4
69149103,12,1
69169112,24,36
69169119,18,255.1
69169120,100.77,130
69247101,11.36,60
69258113,2400,5
69258713,443,5
69262102,12.95,37
69262106,15.62,37
69262107,11.61,49
69328104,50,3
69328106,70,3
69342201,210.6,9
69359442,25,40
69359445,21,50
69391113,65,3
69391114,55.29,51
69429130,100,2
69442107,290,1
69442112,236,1
69442193,202,4
69442236,230.5,6
69477108,57.5,20
69477118,130,2.96
69477131,90,12
69477148,285,11
69477161,50,4
69477162,16,40
69477163,14,3
69504102,35,10
69504167,25,10
69576106,15.75,40
69617110,550,1
69617111,450,1
69643101,16,100
69643104,9.88,190
69643108,96,10
69643109,88.73,55
69643110,15.88,136
69706179,15,4
69776219,0.27,1900
69778102,0.65,200
69778105,0.39,288
69778107,0.42,288
69786306,320,1
90000063,61.43,14
90000067,25,1
90000182,50,4
90017141,3425,4
90543358,16.67,6
90594324,65,4
91003119,200,12
91007280,5.5,25
91007675,5,50
92017239,2850,1
92021142,43.61,255
92032252,9,100
92537190,375,3
92671214,162.5,4
92698347,1400,3
92736125,1700,1
92999935,150,6
93000000,120,3
95003161,5,6
95003162,5,6
95003163,7,6
95124484,30,12
95259154,90,8
95358116,8.4,100
95669226,15,5
96000014,90,10
960000142,550,1
96000112,291.67,12
97000068,795,2
97000088,186.15,13
98000002,20,3
98000022,8.39,594
98000046,500,2
98000087,208.75,8
98000088,363.81,31
98000089,3.54,1705
98000090,106,3
98000091,350,4
99000009,37,10
99000026,221.43,7
99000038,14.7,10
99000041,45,8
99000066,700,2
99000067,28.67,6
99000074,20,10
990000742,18,200
99000075,30,12
99000083,1.45,1244
99000084,1.3,1162
99000085,1.74,750
99000087,1,200
99000088,375,2
99000089,375,2
99000090,575,1
99000091,395.25,20
99000095,61.11,9
99000097,152.83,20
99000100,15,540
99000109,90,4
99000110,250,1
99000111,15,9
99000112,410,4
99000113,7.5,12
99000114,265,2
99000115,80,2
99000116,16.25,12
99000117,950,4
99000139,500,1
99000142,194.14,7
99000143,30.93,28
99000160,35.8,30
99000161,79.96,142
99000163,38,16
99000164,35,6
99000165,42.33,48
99000166,370,1
99000172,1100,1
99000174,35,20
99000183,170,2
99000184,550,1
99000192,433.33,3
99000197,71,22.4
99000199,70,5
99000206,1.82,450
99000207,200,2
99000208,449,1
99000209,150,1
99000210,160,4
69004147,42.5,48
69006001,694.79,237
69006002,511.42,113
69408105,7860.26,11
69408106,11000,1
69408107,9000,1
69408108,9000,1
98000001,191.05,109
990000320,0,-1400
990000333,5705.93,2
990000740,0,-22
990000741,917,64
99000082,0,-1700
69004147,885,1
69004154,80,1
69004214,5.19,366
69075107,60,42
69075108,22,150
98000076,26.46,931.5
98000086,93.5,2
99000011,17,192
99000012,25,201
99000144,25,6
99000185,14,120
99000186,490,3
99000187,200,32
51134151,87000,1
57050162,280,6
57050187,210.67,6
57052108,0,-1
57052128,0,-4
57052166,247,3
69359444,933.33,3
90000001,0,7
90000002,0,1
90000003,0,2
90000004,0,11
90000005,0,1
90000006,16266,1
90000007,0,1
90000008,0,1
90000009,0,1
90000010,0,1
90000011,0,1
90000012,0,3
90000014,0,1
90000015,0,1
90000016,0,1
90000017,0,1
90000018,0,1
90000019,0,5
90000020,0,5
90000021,0,2
90000022,0,3
90000023,0,2
90000024,0,4
90000025,0,3
90000026,0,6
90000027,0,6
90000029,0,11
90000030,0,9
90000031,0,4
90000032,0,4
90000033,0,92
90000034,0,10
90000035,0,1
90000036,0,12
90000037,0,5
90000038,0,1
90000039,0,1
90000040,0,17
90000041,0,14
90000042,0,1
90000043,0,1
90000044,0,100
90000045,590.91,22
90000046,0,2
90000048,0,19
90000049,0,14
90000050,0,4
90000051,0,25
90000052,0,2
90000053,0,3
90000054,0,18
90000056,0,84
90000057,0,7
90000058,0,8
90000059,0,19
90000060,0,10
90000061,0,10
90000062,0,10
90000063,0,19
90000064,0,18
90000065,0,10
90000066,0,12
90000067,0,1
90000068,0,6
90000069,0,1
90000070,0,7
90000071,0,15
90000072,0,149
90000073,0,2
90000074,0,11
90000075,0,1
90000076,0,6
90000077,0,2
90000078,0,4
90000079,0,1
90000080,0,1
90000082,0,4
90000084,0,1
90000085,0,7
90000086,0,1
90000087,0,1
90000089,0,2
90000090,0,5
90000091,0,2
90000092,0,48
90000093,0,2
90000094,0,8
90000095,0,35
90000096,0,2
90000097,0,5
90000098,0,1
90000099,0,2
90000100,0,2
90000101,0,1
90000102,0,3
90000103,0,4
90000104,0,2
90000105,0,30
90000106,0,30
90000107,0,4
90000108,0,1
90000109,0,5
90000111,0,5
90000112,0,1
90000114,0,1
90000115,0,1
90000116,0,11
90000117,0,1
90000119,0,2
90000120,0,5
90000121,0,13
90000122,0,2
90000123,0,6
90000124,0,1
90000125,0,2
90000126,0,4
90000127,0,24
90000128,0,8
90000129,0,1
90000130,0,13
90000131,0,14
90000132,0,2
90000133,0,4
90000135,0,11
90000136,0,1
90000137,0,4
90000139,0,1
90000140,0,4
90000141,0,1
90000142,0,16
90000143,0,2
90000144,0,1
90000145,0,1
90000146,0,1
90000147,0,1
90000148,0,1
90000149,0,3
90000150,0,1
90000151,0,4
90000152,0,1
90000153,0,6
90000154,0,6
90000156,0,2
90000157,0,1
90000158,0,2
90000159,0,1
90000160,0,1
90000161,0,1
90000162,0,5
90000163,0,3
90000164,0,2
90000166,0,1
90000167,0,1
90000168,0,1
90000169,0,2
90000170,0,2
90000171,0,1
90000172,0,1
90000173,0,1
90000174,0,1
90000175,0,1
90000176,0,1
90000177,0,3
90000178,0,1
90000179,0,-1
90000180,0,-5
90000181,0,3
90017097,4910,1
90017108,0,7
90017109,0,9
90017110,0,1
90017111,0,1
90017135,0,1
90017152,2783.5,1
90017201,2553.72,1
90017202,2984.55,3
90017203,575,1
90023705,0,2
90023706,0,6
90037116,0,2
90037119,0,9
90037126,0,3
90037128,0,1
90037137,0,169
90037145,0,4
90037147,0,4
90037161,0,1
90037162,0,1
90037164,0,31
90037165,0,1
90037166,0,1
90037167,0,11
90037168,0,2
90037169,0,1
90037173,0,12
90037178,0,1
90037179,0,1
90037185,0,7
90037190,0,13
90037201,0,2
90037214,0,9
90037217,0,1
90037231,0,1
90037232,0,1
90037238,0,150
90037245,0,1
90037251,0,6
90037254,0,6
90037255,0,1
90037258,0,22
90037260,0,3
90037261,0,1
90037264,0,2
90037265,0,1
90037266,0,4
90037267,0,4
90037272,0,1
90037301,0,1
90037313,0,2
90037327,0,1
90037328,0,1
90037334,0,1
90037335,0,1
90037474,0,3
90037491,0,1
90037582,0,1
90037584,0,6
90037587,0,21
90037591,0,2
90037593,0,12
90037595,0,40
90037653,0,2
90037654,0,2
90043124,0,1
90043210,0,4
90043224,0,2
90043231,0,5
90045132,66.67,20
90045157,0,14
90045184,0,2
90046219,0,2
90049129,0,3
90133130,0,2
90148218,0,2
90171108,0,2
90171121,0,12
90324222,0,1
90324245,0,2
90324276,0,1
90324826,0,2
90324861,0,1
90339127,0,5
90339219,0,7
90339293,0,8
90339363,0,6
90339390,0,1
90351502,0,1
90357730,0,1
90378148,21200,1
90378149,19888.89,3
90378152,227.64,275
90378177,0,6
90378179,0,3
90378327,1461.67,15
90385501,0,2
90385503,0,1
90385505,0,3
90385511,0,4
90385512,0,5
90458119,0,2
90458139,0,21
90458149,0,17
90471141,0,4
90471242,0,4
90471337,0,125
90471338,0,6
90471419,200,1
90475138,0,1
90486560,0,1
90546229,0,2
90546261,0,9
90546363,0,10
90546382,0,2
90563193,0,1
90594100,0,8
90594101,0,4
90594102,0,3
90594103,0,6
90594104,0,2
90594105,0,1
90594106,0,1
90594107,0,3
90594108,0,16
90594110,0,10
90594111,0,41
90594112,0,12
90594113,0,4
90594115,0,2
90594116,0,4
90594117,0,7
90594118,0,3
90594119,0,3
90594200,0,2
90594201,0,1
90594202,0,11
90594203,0,2
90594204,0,1
90594205,0,1
90594206,0,4
90594207,0,6
90594208,0,12
90594209,0,3
90594210,0,3
90594211,0,3
90594212,0,6
90594213,0,7
90594215,0,6
90594216,0,5
90594217,0,9
90594218,0,2
90594273,0,1
90594283,0,2
90594323,0,7
90594325,0,2
90594326,0,6
90594327,0,6
90594329,0,1
90594330,0,4
90594331,0,2
90594332,0,2
90594333,0,14
90594334,0,18
90594336,0,10
90594373,0,6
90594376,0,2
90594377,0,10
90594381,0,1
90594388,0,3
90594389,0,2
90594394,0,4
90594395,0,4
90601101,0,-5
90603171,0,2
90603255,0,10
90603333,0,1
90622108,0,11
90663253,0,1
90668369,0,3
90668551,0,71
90668576,0,32
90668915,0,3
90668923,0,2
90668987,0,23
90669006,0,30
90669030,0,2
90689214,2438.5,1
90698256,0,6
90764186,0,2
90788168,0,1
90788172,0,2
90788195,0,11
90788290,0,1
90788330,0,2
90790104,0,-2
90790221,0,5
90996387,0,8
90996441,0,1
90996458,0,4
90996518,0,1
90996529,0,4
90996544,0,1
90996560,0,2
90996878,0,1
90997681,0,4
90998037,0,10
90998043,0,10
90998218,0,11
90998375,0,1
90998477,0,2
90998499,0,1
90998929,0,1
90999718,0,1
90999738,0,-3
90999747,10440,1
90999772,480,25
91000001,0,1
91000002,0,9
91000003,0,8
91000004,0,1
91000005,0,4
91000006,0,1
91000007,0,13
91000008,0,3
91000009,0,5
91000010,0,6
91000011,0,9
91000012,0,13
91000013,0,9
91000014,0,2
91000016,0,7
91000017,0,11
91000019,0,1
91000020,0,5
91000021,0,5
91000022,0,1
91000024,0,1
91000025,0,4
91000026,0,3
91000027,0,7
91000028,0,4
91000029,0,14
91000030,0,1
91000031,0,6
91000032,0,1
91000033,0,3
91000034,0,3
91000035,0,10
91000036,475,4
91000037,0,4
91000038,0,1
91000039,0,8
91000040,0,1
91000041,0,40
91000042,0,3
91000043,0,50
91000045,0,4
91000046,0,2
91000047,0,7
91000048,0,8
91000049,0,7
91000050,0,31
91000051,0,1
91000052,0,1
91000053,0,1
91000054,0,1
91000055,0,5
91000057,0,15
91000058,0,3
91000059,0,6
91000060,0,4
91000061,0,9
91000062,0,20
91000063,0,3
91000064,0,1
91000065,0,1
91000066,0,9
91000067,0,15
91000068,0,4
91000069,0,4
91000070,0,24
91000071,0,12
91000073,0,2
91000074,0,2
91000075,0,10
91000076,0,2
91000077,0,2
91000078,0,4
91000079,0,2
91000080,0,3
91000081,0,2
91000082,0,9
91000083,0,5
91000084,0,5
91000086,0,3
91000087,0,5
91000088,0,6
91000089,0,1
91000090,0,1
91000092,0,21
91000093,0,1
91000094,0,4
91000095,0,2
91000097,1000,1
91000098,0,1
91000099,0,4
91000100,0,14
91000104,0,1
91000105,0,2
91000106,0,3
91000107,0,5
91000108,0,11
91000109,0,3
91000110,0,5
